Started job on	Jan 03 06:00:41
Started mapping on	Jan 03 06:03:04
Finished on	Jan 03 06:04:22
Mapping speed, Million of reads per hour	1153.51
Number of input reads	24992613
Average input read length	50
Uniquely mapped reads number	21137907
Uniquely mapped reads %	84.58%
Average mapped length	49.72
Number of splices: Total	1986071
Number of splices: Annotated (sjdb)	1978631
Number of splices: GT/AG	1967669
Number of splices: GC/AG	16345
Number of splices: AT/AC	1201
Number of splices: Non-canonical	856
Mismatch rate per base, %	0.16%
Deletion rate per base	0.01%
Deletion average length	1.34
Insertion rate per base	0.01%
Insertion average length	1.27
Number of reads mapped to multiple loci	3589402
% of reads mapped to multiple loci	14.36%
Number of reads mapped to too many loci	35641
% of reads mapped to too many loci	0.14%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	203014
% of reads unmapped: too short	0.81%
Number of reads unmapped: other	26649
% of reads unmapped: other	0.11%
Number of chimeric reads	151494
% of chimeric reads	0.61%
