Started job on	Jan 03 04:26:25
Started mapping on	Jan 03 04:28:52
Finished on	Jan 03 04:30:09
Mapping speed, Million of reads per hour	1228.63
Number of input reads	26278985
Average input read length	50
Uniquely mapped reads number	22424719
Uniquely mapped reads %	85.33%
Average mapped length	49.75
Number of splices: Total	2150874
Number of splices: Annotated (sjdb)	2142966
Number of splices: GT/AG	2130372
Number of splices: GC/AG	18592
Number of splices: AT/AC	1155
Number of splices: Non-canonical	755
Mismatch rate per base, %	0.15%
Deletion rate per base	0.01%
Deletion average length	1.36
Insertion rate per base	0.00%
Insertion average length	1.23
Number of reads mapped to multiple loci	3730938
% of reads mapped to multiple loci	14.20%
Number of reads mapped to too many loci	35759
% of reads mapped to too many loci	0.14%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	52610
% of reads unmapped: too short	0.20%
Number of reads unmapped: other	34959
% of reads unmapped: other	0.13%
Number of chimeric reads	55138
% of chimeric reads	0.21%
