Started job on	Jan 03 05:39:09
Started mapping on	Jan 03 05:41:37
Finished on	Jan 03 05:42:54
Mapping speed, Million of reads per hour	1226.67
Number of input reads	26237211
Average input read length	50
Uniquely mapped reads number	22597227
Uniquely mapped reads %	86.13%
Average mapped length	49.72
Number of splices: Total	2267614
Number of splices: Annotated (sjdb)	2256028
Number of splices: GT/AG	2248104
Number of splices: GC/AG	17556
Number of splices: AT/AC	1157
Number of splices: Non-canonical	797
Mismatch rate per base, %	0.17%
Deletion rate per base	0.01%
Deletion average length	1.33
Insertion rate per base	0.01%
Insertion average length	1.23
Number of reads mapped to multiple loci	3514855
% of reads mapped to multiple loci	13.40%
Number of reads mapped to too many loci	33870
% of reads mapped to too many loci	0.13%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	59500
% of reads unmapped: too short	0.23%
Number of reads unmapped: other	31759
% of reads unmapped: other	0.12%
Number of chimeric reads	61366
% of chimeric reads	0.23%
