Started job on	Jan 03 03:21:41
Started mapping on	Jan 03 03:24:04
Finished on	Jan 03 03:25:21
Mapping speed, Million of reads per hour	1225.76
Number of input reads	26217707
Average input read length	50
Uniquely mapped reads number	22137845
Uniquely mapped reads %	84.44%
Average mapped length	49.73
Number of splices: Total	2144368
Number of splices: Annotated (sjdb)	2134863
Number of splices: GT/AG	2126520
Number of splices: GC/AG	15860
Number of splices: AT/AC	1254
Number of splices: Non-canonical	734
Mismatch rate per base, %	0.12%
Deletion rate per base	0.01%
Deletion average length	1.31
Insertion rate per base	0.00%
Insertion average length	1.28
Number of reads mapped to multiple loci	3944872
% of reads mapped to multiple loci	15.05%
Number of reads mapped to too many loci	29197
% of reads mapped to too many loci	0.11%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	85851
% of reads unmapped: too short	0.33%
Number of reads unmapped: other	19942
% of reads unmapped: other	0.08%
Number of chimeric reads	88964
% of chimeric reads	0.34%
