Started job on	Jan 03 04:58:53
Started mapping on	Jan 03 05:01:19
Finished on	Jan 03 05:02:36
Mapping speed, Million of reads per hour	1223.18
Number of input reads	26162553
Average input read length	50
Uniquely mapped reads number	22981151
Uniquely mapped reads %	87.84%
Average mapped length	49.70
Number of splices: Total	2431132
Number of splices: Annotated (sjdb)	2422969
Number of splices: GT/AG	2409589
Number of splices: GC/AG	19222
Number of splices: AT/AC	1374
Number of splices: Non-canonical	947
Mismatch rate per base, %	0.14%
Deletion rate per base	0.01%
Deletion average length	1.34
Insertion rate per base	0.01%
Insertion average length	1.26
Number of reads mapped to multiple loci	3025814
% of reads mapped to multiple loci	11.57%
Number of reads mapped to too many loci	33563
% of reads mapped to too many loci	0.13%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	95921
% of reads unmapped: too short	0.37%
Number of reads unmapped: other	26104
% of reads unmapped: other	0.10%
Number of chimeric reads	101028
% of chimeric reads	0.39%
