Started job on	Jan 03 05:53:13
Started mapping on	Jan 03 05:55:38
Finished on	Jan 03 05:56:55
Mapping speed, Million of reads per hour	1227.10
Number of input reads	26246382
Average input read length	50
Uniquely mapped reads number	22362531
Uniquely mapped reads %	85.20%
Average mapped length	49.74
Number of splices: Total	2156136
Number of splices: Annotated (sjdb)	2146006
Number of splices: GT/AG	2136924
Number of splices: GC/AG	17272
Number of splices: AT/AC	1085
Number of splices: Non-canonical	855
Mismatch rate per base, %	0.12%
Deletion rate per base	0.01%
Deletion average length	1.36
Insertion rate per base	0.00%
Insertion average length	1.21
Number of reads mapped to multiple loci	3757389
% of reads mapped to multiple loci	14.32%
Number of reads mapped to too many loci	33200
% of reads mapped to too many loci	0.13%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	63568
% of reads unmapped: too short	0.24%
Number of reads unmapped: other	29694
% of reads unmapped: other	0.11%
Number of chimeric reads	64153
% of chimeric reads	0.24%
