Started job on	Jan 03 02:44:47
Started mapping on	Jan 03 02:47:10
Finished on	Jan 03 02:48:28
Mapping speed, Million of reads per hour	1206.31
Number of input reads	26136780
Average input read length	50
Uniquely mapped reads number	21364767
Uniquely mapped reads %	81.74%
Average mapped length	49.72
Number of splices: Total	1693877
Number of splices: Annotated (sjdb)	1686471
Number of splices: GT/AG	1680220
Number of splices: GC/AG	11985
Number of splices: AT/AC	996
Number of splices: Non-canonical	676
Mismatch rate per base, %	0.13%
Deletion rate per base	0.01%
Deletion average length	1.36
Insertion rate per base	0.00%
Insertion average length	1.30
Number of reads mapped to multiple loci	4581412
% of reads mapped to multiple loci	17.53%
Number of reads mapped to too many loci	25574
% of reads mapped to too many loci	0.10%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	145928
% of reads unmapped: too short	0.56%
Number of reads unmapped: other	19099
% of reads unmapped: other	0.07%
Number of chimeric reads	166688
% of chimeric reads	0.64%
