Started job on	Jan 03 03:48:28
Started mapping on	Jan 03 03:50:51
Finished on	Jan 03 03:52:08
Mapping speed, Million of reads per hour	1228.74
Number of input reads	26281459
Average input read length	50
Uniquely mapped reads number	22307125
Uniquely mapped reads %	84.88%
Average mapped length	49.74
Number of splices: Total	2100646
Number of splices: Annotated (sjdb)	2089933
Number of splices: GT/AG	2081379
Number of splices: GC/AG	17597
Number of splices: AT/AC	988
Number of splices: Non-canonical	682
Mismatch rate per base, %	0.14%
Deletion rate per base	0.01%
Deletion average length	1.39
Insertion rate per base	0.00%
Insertion average length	1.23
Number of reads mapped to multiple loci	3856774
% of reads mapped to multiple loci	14.67%
Number of reads mapped to too many loci	31244
% of reads mapped to too many loci	0.12%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	55638
% of reads unmapped: too short	0.21%
Number of reads unmapped: other	30678
% of reads unmapped: other	0.12%
Number of chimeric reads	65717
% of chimeric reads	0.25%
