Started job on	Jan 03 04:19:39
Started mapping on	Jan 03 04:22:04
Finished on	Jan 03 04:23:22
Mapping speed, Million of reads per hour	1213.76
Number of input reads	26298134
Average input read length	50
Uniquely mapped reads number	22492978
Uniquely mapped reads %	85.53%
Average mapped length	49.75
Number of splices: Total	2076157
Number of splices: Annotated (sjdb)	2067840
Number of splices: GT/AG	2056066
Number of splices: GC/AG	18245
Number of splices: AT/AC	1052
Number of splices: Non-canonical	794
Mismatch rate per base, %	0.15%
Deletion rate per base	0.01%
Deletion average length	1.38
Insertion rate per base	0.00%
Insertion average length	1.24
Number of reads mapped to multiple loci	3695576
% of reads mapped to multiple loci	14.05%
Number of reads mapped to too many loci	32381
% of reads mapped to too many loci	0.12%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	46220
% of reads unmapped: too short	0.18%
Number of reads unmapped: other	30979
% of reads unmapped: other	0.12%
Number of chimeric reads	54084
% of chimeric reads	0.21%
