Started job on	Jan 03 02:33:55
Started mapping on	Jan 03 02:37:20
Finished on	Jan 03 02:38:40
Mapping speed, Million of reads per hour	1174.54
Number of input reads	26100833
Average input read length	50
Uniquely mapped reads number	22379214
Uniquely mapped reads %	85.74%
Average mapped length	49.73
Number of splices: Total	1986376
Number of splices: Annotated (sjdb)	1978374
Number of splices: GT/AG	1966513
Number of splices: GC/AG	17730
Number of splices: AT/AC	1256
Number of splices: Non-canonical	877
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.32
Insertion rate per base	0.01%
Insertion average length	1.35
Number of reads mapped to multiple loci	3545850
% of reads mapped to multiple loci	13.59%
Number of reads mapped to too many loci	33807
% of reads mapped to too many loci	0.13%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	113555
% of reads unmapped: too short	0.44%
Number of reads unmapped: other	28407
% of reads unmapped: other	0.11%
Number of chimeric reads	120729
% of chimeric reads	0.46%
