Started job on	Jan 03 03:07:23
Started mapping on	Jan 03 03:09:50
Finished on	Jan 03 03:11:10
Mapping speed, Million of reads per hour	1181.88
Number of input reads	26264054
Average input read length	50
Uniquely mapped reads number	22578484
Uniquely mapped reads %	85.97%
Average mapped length	49.74
Number of splices: Total	2220002
Number of splices: Annotated (sjdb)	2210851
Number of splices: GT/AG	2197891
Number of splices: GC/AG	20134
Number of splices: AT/AC	1209
Number of splices: Non-canonical	768
Mismatch rate per base, %	0.15%
Deletion rate per base	0.01%
Deletion average length	1.38
Insertion rate per base	0.00%
Insertion average length	1.24
Number of reads mapped to multiple loci	3561472
% of reads mapped to multiple loci	13.56%
Number of reads mapped to too many loci	38103
% of reads mapped to too many loci	0.15%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	49245
% of reads unmapped: too short	0.19%
Number of reads unmapped: other	36750
% of reads unmapped: other	0.14%
Number of chimeric reads	54520
% of chimeric reads	0.21%
