Started job on	Jan 03 03:55:47
Started mapping on	Jan 03 03:58:14
Finished on	Jan 03 03:59:31
Mapping speed, Million of reads per hour	1229.38
Number of input reads	26295164
Average input read length	50
Uniquely mapped reads number	22247358
Uniquely mapped reads %	84.61%
Average mapped length	49.75
Number of splices: Total	2063790
Number of splices: Annotated (sjdb)	2053835
Number of splices: GT/AG	2044575
Number of splices: GC/AG	17396
Number of splices: AT/AC	1076
Number of splices: Non-canonical	743
Mismatch rate per base, %	0.15%
Deletion rate per base	0.01%
Deletion average length	1.34
Insertion rate per base	0.00%
Insertion average length	1.22
Number of reads mapped to multiple loci	3934437
% of reads mapped to multiple loci	14.96%
Number of reads mapped to too many loci	30856
% of reads mapped to too many loci	0.12%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	53636
% of reads unmapped: too short	0.20%
Number of reads unmapped: other	28877
% of reads unmapped: other	0.11%
Number of chimeric reads	57050
% of chimeric reads	0.22%
