Started job on	Jan 03 06:29:11
Started mapping on	Jan 03 06:31:33
Finished on	Jan 03 06:32:50
Mapping speed, Million of reads per hour	1229.60
Number of input reads	26299728
Average input read length	50
Uniquely mapped reads number	21713081
Uniquely mapped reads %	82.56%
Average mapped length	49.74
Number of splices: Total	1620079
Number of splices: Annotated (sjdb)	1612109
Number of splices: GT/AG	1605785
Number of splices: GC/AG	12721
Number of splices: AT/AC	937
Number of splices: Non-canonical	636
Mismatch rate per base, %	0.12%
Deletion rate per base	0.01%
Deletion average length	1.43
Insertion rate per base	0.00%
Insertion average length	1.27
Number of reads mapped to multiple loci	4416398
% of reads mapped to multiple loci	16.79%
Number of reads mapped to too many loci	26350
% of reads mapped to too many loci	0.10%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	96144
% of reads unmapped: too short	0.37%
Number of reads unmapped: other	47755
% of reads unmapped: other	0.18%
Number of chimeric reads	123460
% of chimeric reads	0.47%
