Started job on	Jan 03 02:57:18
Started mapping on	Jan 03 02:59:44
Finished on	Jan 03 03:01:04
Mapping speed, Million of reads per hour	1182.84
Number of input reads	26285403
Average input read length	50
Uniquely mapped reads number	22150625
Uniquely mapped reads %	84.27%
Average mapped length	49.73
Number of splices: Total	2029304
Number of splices: Annotated (sjdb)	2020701
Number of splices: GT/AG	2012552
Number of splices: GC/AG	14901
Number of splices: AT/AC	1136
Number of splices: Non-canonical	715
Mismatch rate per base, %	0.16%
Deletion rate per base	0.01%
Deletion average length	1.34
Insertion rate per base	0.00%
Insertion average length	1.27
Number of reads mapped to multiple loci	3982613
% of reads mapped to multiple loci	15.15%
Number of reads mapped to too many loci	29875
% of reads mapped to too many loci	0.11%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	99341
% of reads unmapped: too short	0.38%
Number of reads unmapped: other	22949
% of reads unmapped: other	0.09%
Number of chimeric reads	113570
% of chimeric reads	0.43%
