Started job on	Jan 03 04:02:51
Started mapping on	Jan 03 04:05:17
Finished on	Jan 03 04:06:34
Mapping speed, Million of reads per hour	1229.63
Number of input reads	26300344
Average input read length	50
Uniquely mapped reads number	22036045
Uniquely mapped reads %	83.79%
Average mapped length	49.74
Number of splices: Total	1915678
Number of splices: Annotated (sjdb)	1907093
Number of splices: GT/AG	1898165
Number of splices: GC/AG	15846
Number of splices: AT/AC	993
Number of splices: Non-canonical	674
Mismatch rate per base, %	0.15%
Deletion rate per base	0.01%
Deletion average length	1.35
Insertion rate per base	0.00%
Insertion average length	1.23
Number of reads mapped to multiple loci	4134648
% of reads mapped to multiple loci	15.72%
Number of reads mapped to too many loci	30622
% of reads mapped to too many loci	0.12%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	69971
% of reads unmapped: too short	0.27%
Number of reads unmapped: other	29058
% of reads unmapped: other	0.11%
Number of chimeric reads	75053
% of chimeric reads	0.29%
