Started job on	Jan 03 05:22:39
Started mapping on	Jan 03 05:25:02
Finished on	Jan 03 05:26:15
Mapping speed, Million of reads per hour	1189.42
Number of input reads	24118843
Average input read length	50
Uniquely mapped reads number	20234402
Uniquely mapped reads %	83.89%
Average mapped length	49.74
Number of splices: Total	1785513
Number of splices: Annotated (sjdb)	1777177
Number of splices: GT/AG	1768072
Number of splices: GC/AG	15726
Number of splices: AT/AC	989
Number of splices: Non-canonical	726
Mismatch rate per base, %	0.16%
Deletion rate per base	0.01%
Deletion average length	1.38
Insertion rate per base	0.00%
Insertion average length	1.25
Number of reads mapped to multiple loci	3754099
% of reads mapped to multiple loci	15.57%
Number of reads mapped to too many loci	37329
% of reads mapped to too many loci	0.15%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	57874
% of reads unmapped: too short	0.24%
Number of reads unmapped: other	35139
% of reads unmapped: other	0.15%
Number of chimeric reads	62726
% of chimeric reads	0.26%
