Started job on	Jan 03 04:10:56
Started mapping on	Jan 03 04:13:21
Finished on	Jan 03 04:14:39
Mapping speed, Million of reads per hour	1210.58
Number of input reads	26229205
Average input read length	50
Uniquely mapped reads number	21562357
Uniquely mapped reads %	82.21%
Average mapped length	49.74
Number of splices: Total	1885746
Number of splices: Annotated (sjdb)	1878928
Number of splices: GT/AG	1868819
Number of splices: GC/AG	15249
Number of splices: AT/AC	1024
Number of splices: Non-canonical	654
Mismatch rate per base, %	0.15%
Deletion rate per base	0.01%
Deletion average length	1.30
Insertion rate per base	0.00%
Insertion average length	1.27
Number of reads mapped to multiple loci	4534989
% of reads mapped to multiple loci	17.29%
Number of reads mapped to too many loci	30659
% of reads mapped to too many loci	0.12%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	82692
% of reads unmapped: too short	0.32%
Number of reads unmapped: other	18508
% of reads unmapped: other	0.07%
Number of chimeric reads	93245
% of chimeric reads	0.36%
