Started job on	Jan 03 04:33:30
Started mapping on	Jan 03 04:35:55
Finished on	Jan 03 04:37:12
Mapping speed, Million of reads per hour	1227.33
Number of input reads	26251240
Average input read length	50
Uniquely mapped reads number	22013286
Uniquely mapped reads %	83.86%
Average mapped length	49.74
Number of splices: Total	1930066
Number of splices: Annotated (sjdb)	1922383
Number of splices: GT/AG	1913209
Number of splices: GC/AG	15127
Number of splices: AT/AC	1045
Number of splices: Non-canonical	685
Mismatch rate per base, %	0.14%
Deletion rate per base	0.01%
Deletion average length	1.31
Insertion rate per base	0.00%
Insertion average length	1.24
Number of reads mapped to multiple loci	4085749
% of reads mapped to multiple loci	15.56%
Number of reads mapped to too many loci	26141
% of reads mapped to too many loci	0.10%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	103084
% of reads unmapped: too short	0.39%
Number of reads unmapped: other	22980
% of reads unmapped: other	0.09%
Number of chimeric reads	103003
% of chimeric reads	0.39%
