Started job on	Jan 03 03:14:21
Started mapping on	Jan 03 03:16:46
Finished on	Jan 03 03:18:04
Mapping speed, Million of reads per hour	1213.41
Number of input reads	26290531
Average input read length	50
Uniquely mapped reads number	21796740
Uniquely mapped reads %	82.91%
Average mapped length	49.76
Number of splices: Total	1821656
Number of splices: Annotated (sjdb)	1813924
Number of splices: GT/AG	1804380
Number of splices: GC/AG	15653
Number of splices: AT/AC	1033
Number of splices: Non-canonical	590
Mismatch rate per base, %	0.15%
Deletion rate per base	0.01%
Deletion average length	1.36
Insertion rate per base	0.00%
Insertion average length	1.24
Number of reads mapped to multiple loci	4366130
% of reads mapped to multiple loci	16.61%
Number of reads mapped to too many loci	36828
% of reads mapped to too many loci	0.14%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	56611
% of reads unmapped: too short	0.22%
Number of reads unmapped: other	34222
% of reads unmapped: other	0.13%
Number of chimeric reads	63752
% of chimeric reads	0.24%
