Started job on	Jan 03 05:08:15
Started mapping on	Jan 03 05:10:37
Finished on	Jan 03 05:11:53
Mapping speed, Million of reads per hour	1245.49
Number of input reads	26293688
Average input read length	50
Uniquely mapped reads number	21778625
Uniquely mapped reads %	82.83%
Average mapped length	49.76
Number of splices: Total	1758813
Number of splices: Annotated (sjdb)	1751572
Number of splices: GT/AG	1743043
Number of splices: GC/AG	14225
Number of splices: AT/AC	923
Number of splices: Non-canonical	622
Mismatch rate per base, %	0.12%
Deletion rate per base	0.01%
Deletion average length	1.37
Insertion rate per base	0.00%
Insertion average length	1.24
Number of reads mapped to multiple loci	4403809
% of reads mapped to multiple loci	16.75%
Number of reads mapped to too many loci	26603
% of reads mapped to too many loci	0.10%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	59409
% of reads unmapped: too short	0.23%
Number of reads unmapped: other	25242
% of reads unmapped: other	0.10%
Number of chimeric reads	65558
% of chimeric reads	0.25%
