Started job on	Jan 03 04:49:16
Started mapping on	Jan 03 04:51:42
Finished on	Jan 03 04:52:59
Mapping speed, Million of reads per hour	1228.57
Number of input reads	26277645
Average input read length	50
Uniquely mapped reads number	22637575
Uniquely mapped reads %	86.15%
Average mapped length	49.71
Number of splices: Total	2204759
Number of splices: Annotated (sjdb)	2194986
Number of splices: GT/AG	2186799
Number of splices: GC/AG	15959
Number of splices: AT/AC	1231
Number of splices: Non-canonical	770
Mismatch rate per base, %	0.15%
Deletion rate per base	0.01%
Deletion average length	1.35
Insertion rate per base	0.00%
Insertion average length	1.25
Number of reads mapped to multiple loci	3477367
% of reads mapped to multiple loci	13.23%
Number of reads mapped to too many loci	31671
% of reads mapped to too many loci	0.12%
Number of reads unmapped: too many mismatches	0
% of reads unmapped: too many mismatches	0.00%
Number of reads unmapped: too short	101981
% of reads unmapped: too short	0.39%
Number of reads unmapped: other	29051
% of reads unmapped: other	0.11%
Number of chimeric reads	107217
% of chimeric reads	0.41%
