Started job on	Jan 24 15:45:27
Started mapping on	Jan 24 15:54:23
Finished on	Jan 24 16:03:54
Mapping speed, Million of reads per hour	201.80
Number of input reads	32007528
Average input read length	202
Uniquely mapped reads number	29037377
Uniquely mapped reads %	90.72%
Average mapped length	200.11
Number of splices: Total	8557266
Number of splices: Annotated (sjdb)	8542470
Number of splices: GT/AG	8482403
Number of splices: GC/AG	59755
Number of splices: AT/AC	7189
Number of splices: Non-canonical	7919
Mismatch rate per base, %	0.25%
Deletion rate per base	0.01%
Deletion average length	1.14
Insertion rate per base	0.01%
Insertion average length	1.39
Number of reads mapped to multiple loci	1973275
% of reads mapped to multiple loci	6.17%
Number of reads mapped to too many loci	7063
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	29351
% of reads unmapped: too many mismatches	0.09%
Number of reads unmapped: too short	932759
% of reads unmapped: too short	2.91%
Number of reads unmapped: other	27703
% of reads unmapped: other	0.09%
Number of chimeric reads	468844
% of chimeric reads	1.46%
