Started job on	Jan 25 21:34:53
Started mapping on	Jan 25 21:43:40
Finished on	Jan 25 21:52:53
Mapping speed, Million of reads per hour	231.08
Number of input reads	35497176
Average input read length	202
Uniquely mapped reads number	33039622
Uniquely mapped reads %	93.08%
Average mapped length	200.64
Number of splices: Total	12361543
Number of splices: Annotated (sjdb)	12344756
Number of splices: GT/AG	12234912
Number of splices: GC/AG	104156
Number of splices: AT/AC	12034
Number of splices: Non-canonical	10441
Mismatch rate per base, %	0.23%
Deletion rate per base	0.01%
Deletion average length	1.50
Insertion rate per base	0.02%
Insertion average length	1.36
Number of reads mapped to multiple loci	748871
% of reads mapped to multiple loci	2.11%
Number of reads mapped to too many loci	6873
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	7317
% of reads unmapped: too many mismatches	0.02%
Number of reads unmapped: too short	1688274
% of reads unmapped: too short	4.76%
Number of reads unmapped: other	6219
% of reads unmapped: other	0.02%
Number of chimeric reads	513735
% of chimeric reads	1.45%
