Started job on	Jan 26 04:19:34
Started mapping on	Jan 26 04:28:27
Finished on	Jan 26 04:38:37
Mapping speed, Million of reads per hour	216.25
Number of input reads	36641585
Average input read length	202
Uniquely mapped reads number	33805536
Uniquely mapped reads %	92.26%
Average mapped length	200.62
Number of splices: Total	10762216
Number of splices: Annotated (sjdb)	10748893
Number of splices: GT/AG	10660086
Number of splices: GC/AG	83531
Number of splices: AT/AC	10098
Number of splices: Non-canonical	8501
Mismatch rate per base, %	0.24%
Deletion rate per base	0.01%
Deletion average length	1.45
Insertion rate per base	0.02%
Insertion average length	1.39
Number of reads mapped to multiple loci	868960
% of reads mapped to multiple loci	2.37%
Number of reads mapped to too many loci	9467
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	6957
% of reads unmapped: too many mismatches	0.02%
Number of reads unmapped: too short	1942611
% of reads unmapped: too short	5.30%
Number of reads unmapped: other	8054
% of reads unmapped: other	0.02%
Number of chimeric reads	480140
% of chimeric reads	1.31%
