Started job on	Jan 24 04:53:27
Started mapping on	Jan 24 05:06:49
Finished on	Jan 24 05:22:56
Mapping speed, Million of reads per hour	201.40
Number of input reads	54099272
Average input read length	202
Uniquely mapped reads number	50084719
Uniquely mapped reads %	92.58%
Average mapped length	200.57
Number of splices: Total	12962762
Number of splices: Annotated (sjdb)	12939324
Number of splices: GT/AG	12839146
Number of splices: GC/AG	99599
Number of splices: AT/AC	10670
Number of splices: Non-canonical	13347
Mismatch rate per base, %	0.28%
Deletion rate per base	0.01%
Deletion average length	1.13
Insertion rate per base	0.01%
Insertion average length	1.39
Number of reads mapped to multiple loci	2737104
% of reads mapped to multiple loci	5.06%
Number of reads mapped to too many loci	16097
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	50656
% of reads unmapped: too many mismatches	0.09%
Number of reads unmapped: too short	1191297
% of reads unmapped: too short	2.20%
Number of reads unmapped: other	19399
% of reads unmapped: other	0.04%
Number of chimeric reads	751084
% of chimeric reads	1.39%
