Started job on	Jan 24 15:08:02
Started mapping on	Jan 24 15:17:24
Finished on	Jan 24 15:27:18
Mapping speed, Million of reads per hour	194.27
Number of input reads	32053942
Average input read length	202
Uniquely mapped reads number	28771399
Uniquely mapped reads %	89.76%
Average mapped length	200.44
Number of splices: Total	7551364
Number of splices: Annotated (sjdb)	7538245
Number of splices: GT/AG	7483154
Number of splices: GC/AG	55804
Number of splices: AT/AC	5776
Number of splices: Non-canonical	6630
Mismatch rate per base, %	0.26%
Deletion rate per base	0.01%
Deletion average length	1.14
Insertion rate per base	0.01%
Insertion average length	1.39
Number of reads mapped to multiple loci	1717444
% of reads mapped to multiple loci	5.36%
Number of reads mapped to too many loci	9798
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	29138
% of reads unmapped: too many mismatches	0.09%
Number of reads unmapped: too short	1513727
% of reads unmapped: too short	4.72%
Number of reads unmapped: other	12436
% of reads unmapped: other	0.04%
Number of chimeric reads	501704
% of chimeric reads	1.57%
