Started job on	Jan 25 04:49:02
Started mapping on	Jan 25 05:02:48
Finished on	Jan 25 05:19:14
Mapping speed, Million of reads per hour	192.17
Number of input reads	52633610
Average input read length	202
Uniquely mapped reads number	49119905
Uniquely mapped reads %	93.32%
Average mapped length	200.32
Number of splices: Total	19911214
Number of splices: Annotated (sjdb)	19882622
Number of splices: GT/AG	19713749
Number of splices: GC/AG	164743
Number of splices: AT/AC	17750
Number of splices: Non-canonical	14972
Mismatch rate per base, %	0.26%
Deletion rate per base	0.01%
Deletion average length	1.21
Insertion rate per base	0.01%
Insertion average length	1.40
Number of reads mapped to multiple loci	2205579
% of reads mapped to multiple loci	4.19%
Number of reads mapped to too many loci	17468
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	54971
% of reads unmapped: too many mismatches	0.10%
Number of reads unmapped: too short	1215250
% of reads unmapped: too short	2.31%
Number of reads unmapped: other	20437
% of reads unmapped: other	0.04%
Number of chimeric reads	948397
% of chimeric reads	1.80%
