Started job on	Jan 25 08:38:47
Started mapping on	Jan 25 08:51:08
Finished on	Jan 25 09:05:00
Mapping speed, Million of reads per hour	216.23
Number of input reads	49973492
Average input read length	202
Uniquely mapped reads number	46166727
Uniquely mapped reads %	92.38%
Average mapped length	200.66
Number of splices: Total	11365978
Number of splices: Annotated (sjdb)	11349019
Number of splices: GT/AG	11258780
Number of splices: GC/AG	87670
Number of splices: AT/AC	9975
Number of splices: Non-canonical	9553
Mismatch rate per base, %	0.28%
Deletion rate per base	0.01%
Deletion average length	1.30
Insertion rate per base	0.01%
Insertion average length	1.42
Number of reads mapped to multiple loci	1362907
% of reads mapped to multiple loci	2.73%
Number of reads mapped to too many loci	10603
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	14850
% of reads unmapped: too many mismatches	0.03%
Number of reads unmapped: too short	2412715
% of reads unmapped: too short	4.83%
Number of reads unmapped: other	5690
% of reads unmapped: other	0.01%
Number of chimeric reads	766977
% of chimeric reads	1.53%
