Started job on	Jan 25 02:04:22
Started mapping on	Jan 25 02:13:42
Finished on	Jan 25 02:23:47
Mapping speed, Million of reads per hour	198.82
Number of input reads	33413511
Average input read length	202
Uniquely mapped reads number	30282508
Uniquely mapped reads %	90.63%
Average mapped length	200.08
Number of splices: Total	10152668
Number of splices: Annotated (sjdb)	10134892
Number of splices: GT/AG	10057686
Number of splices: GC/AG	77345
Number of splices: AT/AC	8446
Number of splices: Non-canonical	9191
Mismatch rate per base, %	0.22%
Deletion rate per base	0.01%
Deletion average length	1.15
Insertion rate per base	0.01%
Insertion average length	1.36
Number of reads mapped to multiple loci	1829545
% of reads mapped to multiple loci	5.48%
Number of reads mapped to too many loci	8949
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	32757
% of reads unmapped: too many mismatches	0.10%
Number of reads unmapped: too short	1249660
% of reads unmapped: too short	3.74%
Number of reads unmapped: other	10092
% of reads unmapped: other	0.03%
Number of chimeric reads	676740
% of chimeric reads	2.03%
