Started job on	Jan 25 14:26:01
Started mapping on	Jan 25 14:36:03
Finished on	Jan 25 14:47:12
Mapping speed, Million of reads per hour	204.08
Number of input reads	37925203
Average input read length	202
Uniquely mapped reads number	35609796
Uniquely mapped reads %	93.89%
Average mapped length	200.41
Number of splices: Total	13334712
Number of splices: Annotated (sjdb)	13312585
Number of splices: GT/AG	13201785
Number of splices: GC/AG	109572
Number of splices: AT/AC	11869
Number of splices: Non-canonical	11486
Mismatch rate per base, %	0.23%
Deletion rate per base	0.01%
Deletion average length	1.24
Insertion rate per base	0.01%
Insertion average length	1.42
Number of reads mapped to multiple loci	1565784
% of reads mapped to multiple loci	4.13%
Number of reads mapped to too many loci	11627
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	33863
% of reads unmapped: too many mismatches	0.09%
Number of reads unmapped: too short	690849
% of reads unmapped: too short	1.82%
Number of reads unmapped: other	13284
% of reads unmapped: other	0.04%
Number of chimeric reads	669233
% of chimeric reads	1.76%
