Started job on	Jan 25 22:12:23
Started mapping on	Jan 25 22:21:52
Finished on	Jan 25 22:32:48
Mapping speed, Million of reads per hour	216.74
Number of input reads	39493982
Average input read length	202
Uniquely mapped reads number	37649286
Uniquely mapped reads %	95.33%
Average mapped length	200.64
Number of splices: Total	9894933
Number of splices: Annotated (sjdb)	9877695
Number of splices: GT/AG	9804892
Number of splices: GC/AG	71295
Number of splices: AT/AC	8400
Number of splices: Non-canonical	10346
Mismatch rate per base, %	0.24%
Deletion rate per base	0.01%
Deletion average length	1.28
Insertion rate per base	0.01%
Insertion average length	1.45
Number of reads mapped to multiple loci	1105297
% of reads mapped to multiple loci	2.80%
Number of reads mapped to too many loci	9943
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	13503
% of reads unmapped: too many mismatches	0.03%
Number of reads unmapped: too short	710264
% of reads unmapped: too short	1.80%
Number of reads unmapped: other	5689
% of reads unmapped: other	0.01%
Number of chimeric reads	646202
% of chimeric reads	1.64%
