Started job on	Jan 24 07:06:26
Started mapping on	Jan 24 07:14:53
Finished on	Jan 24 07:24:04
Mapping speed, Million of reads per hour	200.75
Number of input reads	30725379
Average input read length	202
Uniquely mapped reads number	28021704
Uniquely mapped reads %	91.20%
Average mapped length	200.35
Number of splices: Total	7547230
Number of splices: Annotated (sjdb)	7534285
Number of splices: GT/AG	7477565
Number of splices: GC/AG	57037
Number of splices: AT/AC	6154
Number of splices: Non-canonical	6474
Mismatch rate per base, %	0.23%
Deletion rate per base	0.01%
Deletion average length	1.15
Insertion rate per base	0.01%
Insertion average length	1.48
Number of reads mapped to multiple loci	1911044
% of reads mapped to multiple loci	6.22%
Number of reads mapped to too many loci	9022
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	32132
% of reads unmapped: too many mismatches	0.10%
Number of reads unmapped: too short	725791
% of reads unmapped: too short	2.36%
Number of reads unmapped: other	25686
% of reads unmapped: other	0.08%
Number of chimeric reads	563965
% of chimeric reads	1.84%
