Started job on	Jan 25 16:04:26
Started mapping on	Jan 25 16:13:56
Finished on	Jan 25 16:24:36
Mapping speed, Million of reads per hour	200.38
Number of input reads	35623934
Average input read length	202
Uniquely mapped reads number	32398714
Uniquely mapped reads %	90.95%
Average mapped length	200.44
Number of splices: Total	10346342
Number of splices: Annotated (sjdb)	10329372
Number of splices: GT/AG	10253673
Number of splices: GC/AG	75633
Number of splices: AT/AC	8228
Number of splices: Non-canonical	8808
Mismatch rate per base, %	0.26%
Deletion rate per base	0.01%
Deletion average length	1.14
Insertion rate per base	0.01%
Insertion average length	1.37
Number of reads mapped to multiple loci	2161879
% of reads mapped to multiple loci	6.07%
Number of reads mapped to too many loci	10215
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	36326
% of reads unmapped: too many mismatches	0.10%
Number of reads unmapped: too short	997766
% of reads unmapped: too short	2.80%
Number of reads unmapped: other	19034
% of reads unmapped: other	0.05%
Number of chimeric reads	536522
% of chimeric reads	1.51%
