Started job on	Jan 24 11:27:52
Started mapping on	Jan 24 11:40:44
Finished on	Jan 24 11:55:21
Mapping speed, Million of reads per hour	199.71
Number of input reads	48651628
Average input read length	202
Uniquely mapped reads number	45096912
Uniquely mapped reads %	92.69%
Average mapped length	200.15
Number of splices: Total	18625698
Number of splices: Annotated (sjdb)	18599638
Number of splices: GT/AG	18444574
Number of splices: GC/AG	150731
Number of splices: AT/AC	16469
Number of splices: Non-canonical	13924
Mismatch rate per base, %	0.23%
Deletion rate per base	0.01%
Deletion average length	1.22
Insertion rate per base	0.01%
Insertion average length	1.39
Number of reads mapped to multiple loci	1868825
% of reads mapped to multiple loci	3.84%
Number of reads mapped to too many loci	13646
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	54273
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	1605476
% of reads unmapped: too short	3.30%
Number of reads unmapped: other	12496
% of reads unmapped: other	0.03%
Number of chimeric reads	958957
% of chimeric reads	1.97%
