Started job on	Jan 26 02:46:04
Started mapping on	Jan 26 02:56:28
Finished on	Jan 26 03:07:54
Mapping speed, Million of reads per hour	217.57
Number of input reads	41458992
Average input read length	202
Uniquely mapped reads number	39201959
Uniquely mapped reads %	94.56%
Average mapped length	200.67
Number of splices: Total	13652343
Number of splices: Annotated (sjdb)	13634117
Number of splices: GT/AG	13515550
Number of splices: GC/AG	112212
Number of splices: AT/AC	13140
Number of splices: Non-canonical	11441
Mismatch rate per base, %	0.24%
Deletion rate per base	0.01%
Deletion average length	1.32
Insertion rate per base	0.01%
Insertion average length	1.45
Number of reads mapped to multiple loci	1041659
% of reads mapped to multiple loci	2.51%
Number of reads mapped to too many loci	7290
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	17225
% of reads unmapped: too many mismatches	0.04%
Number of reads unmapped: too short	1186232
% of reads unmapped: too short	2.86%
Number of reads unmapped: other	4627
% of reads unmapped: other	0.01%
Number of chimeric reads	666713
% of chimeric reads	1.61%
