Started job on	Jan 25 07:48:18
Started mapping on	Jan 25 07:59:45
Finished on	Jan 25 08:12:23
Mapping speed, Million of reads per hour	226.53
Number of input reads	47696550
Average input read length	202
Uniquely mapped reads number	44362482
Uniquely mapped reads %	93.01%
Average mapped length	200.62
Number of splices: Total	10437792
Number of splices: Annotated (sjdb)	10419420
Number of splices: GT/AG	10333673
Number of splices: GC/AG	84058
Number of splices: AT/AC	9658
Number of splices: Non-canonical	10403
Mismatch rate per base, %	0.29%
Deletion rate per base	0.01%
Deletion average length	1.41
Insertion rate per base	0.02%
Insertion average length	1.37
Number of reads mapped to multiple loci	1465496
% of reads mapped to multiple loci	3.07%
Number of reads mapped to too many loci	11314
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	14800
% of reads unmapped: too many mismatches	0.03%
Number of reads unmapped: too short	1835974
% of reads unmapped: too short	3.85%
Number of reads unmapped: other	6484
% of reads unmapped: other	0.01%
Number of chimeric reads	710787
% of chimeric reads	1.49%
