Started job on	Jan 24 21:59:54
Started mapping on	Jan 24 22:18:06
Finished on	Jan 24 22:40:51
Mapping speed, Million of reads per hour	198.68
Number of input reads	75330958
Average input read length	202
Uniquely mapped reads number	71082393
Uniquely mapped reads %	94.36%
Average mapped length	200.64
Number of splices: Total	30183911
Number of splices: Annotated (sjdb)	30141756
Number of splices: GT/AG	29879787
Number of splices: GC/AG	255643
Number of splices: AT/AC	25703
Number of splices: Non-canonical	22778
Mismatch rate per base, %	0.22%
Deletion rate per base	0.01%
Deletion average length	1.23
Insertion rate per base	0.01%
Insertion average length	1.37
Number of reads mapped to multiple loci	2747300
% of reads mapped to multiple loci	3.65%
Number of reads mapped to too many loci	20265
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	71423
% of reads unmapped: too many mismatches	0.09%
Number of reads unmapped: too short	1380068
% of reads unmapped: too short	1.83%
Number of reads unmapped: other	29509
% of reads unmapped: other	0.04%
Number of chimeric reads	1230093
% of chimeric reads	1.63%
