Started job on	Jan 24 04:11:42
Started mapping on	Jan 24 04:21:13
Finished on	Jan 24 04:30:58
Mapping speed, Million of reads per hour	237.54
Number of input reads	38599489
Average input read length	202
Uniquely mapped reads number	36636006
Uniquely mapped reads %	94.91%
Average mapped length	200.63
Number of splices: Total	13314900
Number of splices: Annotated (sjdb)	13296570
Number of splices: GT/AG	13181257
Number of splices: GC/AG	109790
Number of splices: AT/AC	12896
Number of splices: Non-canonical	10957
Mismatch rate per base, %	0.22%
Deletion rate per base	0.01%
Deletion average length	1.39
Insertion rate per base	0.02%
Insertion average length	1.42
Number of reads mapped to multiple loci	998816
% of reads mapped to multiple loci	2.59%
Number of reads mapped to too many loci	6796
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	12125
% of reads unmapped: too many mismatches	0.03%
Number of reads unmapped: too short	940183
% of reads unmapped: too short	2.44%
Number of reads unmapped: other	5563
% of reads unmapped: other	0.01%
Number of chimeric reads	608406
% of chimeric reads	1.58%
