Started job on	Jan 25 16:44:19
Started mapping on	Jan 25 17:00:03
Finished on	Jan 25 17:19:46
Mapping speed, Million of reads per hour	194.06
Number of input reads	63770094
Average input read length	202
Uniquely mapped reads number	58177787
Uniquely mapped reads %	91.23%
Average mapped length	200.45
Number of splices: Total	13861404
Number of splices: Annotated (sjdb)	13838357
Number of splices: GT/AG	13733154
Number of splices: GC/AG	102625
Number of splices: AT/AC	11859
Number of splices: Non-canonical	13766
Mismatch rate per base, %	0.45%
Deletion rate per base	0.01%
Deletion average length	1.30
Insertion rate per base	0.02%
Insertion average length	1.41
Number of reads mapped to multiple loci	1787166
% of reads mapped to multiple loci	2.80%
Number of reads mapped to too many loci	12762
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	26429
% of reads unmapped: too many mismatches	0.04%
Number of reads unmapped: too short	3757230
% of reads unmapped: too short	5.89%
Number of reads unmapped: other	8720
% of reads unmapped: other	0.01%
Number of chimeric reads	1018269
% of chimeric reads	1.60%
