Started job on	Jan 23 20:33:38
Started mapping on	Jan 23 20:45:15
Finished on	Jan 23 20:57:18
Mapping speed, Million of reads per hour	225.83
Number of input reads	45354808
Average input read length	202
Uniquely mapped reads number	42589850
Uniquely mapped reads %	93.90%
Average mapped length	200.60
Number of splices: Total	13035934
Number of splices: Annotated (sjdb)	13015481
Number of splices: GT/AG	12916702
Number of splices: GC/AG	96325
Number of splices: AT/AC	10809
Number of splices: Non-canonical	12098
Mismatch rate per base, %	0.25%
Deletion rate per base	0.01%
Deletion average length	1.35
Insertion rate per base	0.01%
Insertion average length	1.47
Number of reads mapped to multiple loci	1319804
% of reads mapped to multiple loci	2.91%
Number of reads mapped to too many loci	10160
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	15253
% of reads unmapped: too many mismatches	0.03%
Number of reads unmapped: too short	1413714
% of reads unmapped: too short	3.12%
Number of reads unmapped: other	6027
% of reads unmapped: other	0.01%
Number of chimeric reads	698979
% of chimeric reads	1.54%
