Started job on	Jan 24 13:25:29
Started mapping on	Jan 24 13:35:34
Finished on	Jan 24 13:46:05
Mapping speed, Million of reads per hour	230.20
Number of input reads	40348180
Average input read length	202
Uniquely mapped reads number	38687577
Uniquely mapped reads %	95.88%
Average mapped length	200.71
Number of splices: Total	13932818
Number of splices: Annotated (sjdb)	13914866
Number of splices: GT/AG	13793743
Number of splices: GC/AG	114519
Number of splices: AT/AC	13446
Number of splices: Non-canonical	11110
Mismatch rate per base, %	0.21%
Deletion rate per base	0.01%
Deletion average length	1.34
Insertion rate per base	0.01%
Insertion average length	1.45
Number of reads mapped to multiple loci	886909
% of reads mapped to multiple loci	2.20%
Number of reads mapped to too many loci	6906
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	12535
% of reads unmapped: too many mismatches	0.03%
Number of reads unmapped: too short	749516
% of reads unmapped: too short	1.86%
Number of reads unmapped: other	4737
% of reads unmapped: other	0.01%
Number of chimeric reads	608033
% of chimeric reads	1.51%
