Started job on	Jan 25 19:07:49
Started mapping on	Jan 25 19:16:59
Finished on	Jan 25 19:26:45
Mapping speed, Million of reads per hour	201.57
Number of input reads	32811344
Average input read length	202
Uniquely mapped reads number	30587387
Uniquely mapped reads %	93.22%
Average mapped length	200.51
Number of splices: Total	11860004
Number of splices: Annotated (sjdb)	11841344
Number of splices: GT/AG	11751788
Number of splices: GC/AG	88693
Number of splices: AT/AC	9809
Number of splices: Non-canonical	9714
Mismatch rate per base, %	0.22%
Deletion rate per base	0.01%
Deletion average length	1.18
Insertion rate per base	0.01%
Insertion average length	1.38
Number of reads mapped to multiple loci	1497737
% of reads mapped to multiple loci	4.56%
Number of reads mapped to too many loci	9327
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	42383
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	665363
% of reads unmapped: too short	2.03%
Number of reads unmapped: other	9147
% of reads unmapped: other	0.03%
Number of chimeric reads	559029
% of chimeric reads	1.70%
