Started job on	Jan 25 11:11:37
Started mapping on	Jan 25 11:21:12
Finished on	Jan 25 11:31:22
Mapping speed, Million of reads per hour	199.94
Number of input reads	33879104
Average input read length	202
Uniquely mapped reads number	30909792
Uniquely mapped reads %	91.24%
Average mapped length	199.99
Number of splices: Total	12307692
Number of splices: Annotated (sjdb)	12288677
Number of splices: GT/AG	12189567
Number of splices: GC/AG	97740
Number of splices: AT/AC	10565
Number of splices: Non-canonical	9820
Mismatch rate per base, %	0.22%
Deletion rate per base	0.01%
Deletion average length	1.19
Insertion rate per base	0.01%
Insertion average length	1.36
Number of reads mapped to multiple loci	1562533
% of reads mapped to multiple loci	4.61%
Number of reads mapped to too many loci	8128
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	36359
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	1352649
% of reads unmapped: too short	3.99%
Number of reads unmapped: other	9643
% of reads unmapped: other	0.03%
Number of chimeric reads	691120
% of chimeric reads	2.04%
