Started job on	Jan 25 09:33:03
Started mapping on	Jan 25 09:43:53
Finished on	Jan 25 09:55:00
Mapping speed, Million of reads per hour	230.22
Number of input reads	42655035
Average input read length	202
Uniquely mapped reads number	40721547
Uniquely mapped reads %	95.47%
Average mapped length	200.55
Number of splices: Total	14622366
Number of splices: Annotated (sjdb)	14602111
Number of splices: GT/AG	14474569
Number of splices: GC/AG	121205
Number of splices: AT/AC	14486
Number of splices: Non-canonical	12106
Mismatch rate per base, %	0.25%
Deletion rate per base	0.01%
Deletion average length	1.44
Insertion rate per base	0.02%
Insertion average length	1.45
Number of reads mapped to multiple loci	881257
% of reads mapped to multiple loci	2.07%
Number of reads mapped to too many loci	8200
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	12634
% of reads unmapped: too many mismatches	0.03%
Number of reads unmapped: too short	1026048
% of reads unmapped: too short	2.41%
Number of reads unmapped: other	5349
% of reads unmapped: other	0.01%
Number of chimeric reads	708555
% of chimeric reads	1.66%
