Started job on	Jan 25 01:17:14
Started mapping on	Jan 25 01:27:17
Finished on	Jan 25 01:38:14
Mapping speed, Million of reads per hour	196.47
Number of input reads	35856054
Average input read length	202
Uniquely mapped reads number	33566861
Uniquely mapped reads %	93.62%
Average mapped length	200.19
Number of splices: Total	13477336
Number of splices: Annotated (sjdb)	13455551
Number of splices: GT/AG	13348035
Number of splices: GC/AG	107738
Number of splices: AT/AC	11182
Number of splices: Non-canonical	10381
Mismatch rate per base, %	0.23%
Deletion rate per base	0.01%
Deletion average length	1.21
Insertion rate per base	0.01%
Insertion average length	1.41
Number of reads mapped to multiple loci	1377099
% of reads mapped to multiple loci	3.84%
Number of reads mapped to too many loci	13104
% of reads mapped to too many loci	0.04%
Number of reads unmapped: too many mismatches	40637
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	849367
% of reads unmapped: too short	2.37%
Number of reads unmapped: other	8986
% of reads unmapped: other	0.03%
Number of chimeric reads	707676
% of chimeric reads	1.97%
