Started job on	Jan 26 00:49:06
Started mapping on	Jan 26 01:03:30
Finished on	Jan 26 01:20:23
Mapping speed, Million of reads per hour	219.09
Number of input reads	61649047
Average input read length	202
Uniquely mapped reads number	58827586
Uniquely mapped reads %	95.42%
Average mapped length	200.41
Number of splices: Total	20334293
Number of splices: Annotated (sjdb)	20306199
Number of splices: GT/AG	20131055
Number of splices: GC/AG	166754
Number of splices: AT/AC	19433
Number of splices: Non-canonical	17051
Mismatch rate per base, %	0.42%
Deletion rate per base	0.01%
Deletion average length	1.48
Insertion rate per base	0.02%
Insertion average length	1.41
Number of reads mapped to multiple loci	1412957
% of reads mapped to multiple loci	2.29%
Number of reads mapped to too many loci	11958
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	16096
% of reads unmapped: too many mismatches	0.03%
Number of reads unmapped: too short	1373364
% of reads unmapped: too short	2.23%
Number of reads unmapped: other	7086
% of reads unmapped: other	0.01%
Number of chimeric reads	957197
% of chimeric reads	1.55%
