Started job on	Jan 24 17:43:11
Started mapping on	Jan 24 17:55:52
Finished on	Jan 24 18:10:45
Mapping speed, Million of reads per hour	209.54
Number of input reads	51976340
Average input read length	202
Uniquely mapped reads number	46783427
Uniquely mapped reads %	90.01%
Average mapped length	200.64
Number of splices: Total	9335132
Number of splices: Annotated (sjdb)	9318569
Number of splices: GT/AG	9251135
Number of splices: GC/AG	66394
Number of splices: AT/AC	7958
Number of splices: Non-canonical	9645
Mismatch rate per base, %	0.31%
Deletion rate per base	0.01%
Deletion average length	1.31
Insertion rate per base	0.02%
Insertion average length	1.39
Number of reads mapped to multiple loci	1846891
% of reads mapped to multiple loci	3.55%
Number of reads mapped to too many loci	11356
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	16532
% of reads unmapped: too many mismatches	0.03%
Number of reads unmapped: too short	3310409
% of reads unmapped: too short	6.37%
Number of reads unmapped: other	7725
% of reads unmapped: other	0.01%
Number of chimeric reads	741939
% of chimeric reads	1.43%
