Started job on	Jan 26 01:58:48
Started mapping on	Jan 26 02:08:45
Finished on	Jan 26 02:19:46
Mapping speed, Million of reads per hour	197.65
Number of input reads	36290876
Average input read length	202
Uniquely mapped reads number	31444070
Uniquely mapped reads %	86.64%
Average mapped length	199.86
Number of splices: Total	10712241
Number of splices: Annotated (sjdb)	10695966
Number of splices: GT/AG	10610588
Number of splices: GC/AG	83769
Number of splices: AT/AC	9251
Number of splices: Non-canonical	8633
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.17
Insertion rate per base	0.01%
Insertion average length	1.37
Number of reads mapped to multiple loci	2049505
% of reads mapped to multiple loci	5.65%
Number of reads mapped to too many loci	10196
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	35230
% of reads unmapped: too many mismatches	0.10%
Number of reads unmapped: too short	2726425
% of reads unmapped: too short	7.51%
Number of reads unmapped: other	25450
% of reads unmapped: other	0.07%
Number of chimeric reads	741182
% of chimeric reads	2.04%
