Started job on	Jan 24 14:08:37
Started mapping on	Jan 24 14:20:49
Finished on	Jan 24 14:34:31
Mapping speed, Million of reads per hour	205.19
Number of input reads	46851342
Average input read length	202
Uniquely mapped reads number	43089033
Uniquely mapped reads %	91.97%
Average mapped length	200.19
Number of splices: Total	15867593
Number of splices: Annotated (sjdb)	15843376
Number of splices: GT/AG	15716798
Number of splices: GC/AG	125107
Number of splices: AT/AC	13270
Number of splices: Non-canonical	12418
Mismatch rate per base, %	0.21%
Deletion rate per base	0.01%
Deletion average length	1.19
Insertion rate per base	0.01%
Insertion average length	1.36
Number of reads mapped to multiple loci	2077627
% of reads mapped to multiple loci	4.43%
Number of reads mapped to too many loci	11418
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	36467
% of reads unmapped: too many mismatches	0.08%
Number of reads unmapped: too short	1611690
% of reads unmapped: too short	3.44%
Number of reads unmapped: other	25107
% of reads unmapped: other	0.05%
Number of chimeric reads	946343
% of chimeric reads	2.02%
