Started job on	Jan 23 22:16:23
Started mapping on	Jan 23 22:26:07
Finished on	Jan 23 22:36:45
Mapping speed, Million of reads per hour	203.54
Number of input reads	36071791
Average input read length	202
Uniquely mapped reads number	33564694
Uniquely mapped reads %	93.05%
Average mapped length	200.25
Number of splices: Total	12235284
Number of splices: Annotated (sjdb)	12215281
Number of splices: GT/AG	12116864
Number of splices: GC/AG	96443
Number of splices: AT/AC	10457
Number of splices: Non-canonical	11520
Mismatch rate per base, %	0.22%
Deletion rate per base	0.01%
Deletion average length	1.18
Insertion rate per base	0.01%
Insertion average length	1.37
Number of reads mapped to multiple loci	1572481
% of reads mapped to multiple loci	4.36%
Number of reads mapped to too many loci	11202
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	34224
% of reads unmapped: too many mismatches	0.09%
Number of reads unmapped: too short	877314
% of reads unmapped: too short	2.43%
Number of reads unmapped: other	11876
% of reads unmapped: other	0.03%
Number of chimeric reads	733392
% of chimeric reads	2.03%
