Started job on	Jan 26 06:32:53
Started mapping on	Jan 26 06:51:31
Finished on	Jan 26 07:14:50
Mapping speed, Million of reads per hour	214.93
Number of input reads	83522440
Average input read length	202
Uniquely mapped reads number	75876643
Uniquely mapped reads %	90.85%
Average mapped length	200.49
Number of splices: Total	21155201
Number of splices: Annotated (sjdb)	21122386
Number of splices: GT/AG	20956032
Number of splices: GC/AG	158157
Number of splices: AT/AC	17981
Number of splices: Non-canonical	23031
Mismatch rate per base, %	0.33%
Deletion rate per base	0.01%
Deletion average length	1.36
Insertion rate per base	0.02%
Insertion average length	1.41
Number of reads mapped to multiple loci	3689590
% of reads mapped to multiple loci	4.42%
Number of reads mapped to too many loci	17468
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	27488
% of reads unmapped: too many mismatches	0.03%
Number of reads unmapped: too short	3737711
% of reads unmapped: too short	4.48%
Number of reads unmapped: other	173540
% of reads unmapped: other	0.21%
Number of chimeric reads	1174860
% of chimeric reads	1.41%
