Started job on	Jan 26 00:02:23
Started mapping on	Jan 26 00:12:04
Finished on	Jan 26 00:23:11
Mapping speed, Million of reads per hour	191.06
Number of input reads	35398300
Average input read length	202
Uniquely mapped reads number	32796670
Uniquely mapped reads %	92.65%
Average mapped length	200.31
Number of splices: Total	12559693
Number of splices: Annotated (sjdb)	12540786
Number of splices: GT/AG	12437429
Number of splices: GC/AG	101078
Number of splices: AT/AC	11053
Number of splices: Non-canonical	10133
Mismatch rate per base, %	0.25%
Deletion rate per base	0.01%
Deletion average length	1.19
Insertion rate per base	0.01%
Insertion average length	1.44
Number of reads mapped to multiple loci	1352125
% of reads mapped to multiple loci	3.82%
Number of reads mapped to too many loci	11022
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	39631
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	1191176
% of reads unmapped: too short	3.37%
Number of reads unmapped: other	7676
% of reads unmapped: other	0.02%
Number of chimeric reads	673442
% of chimeric reads	1.90%
