Started job on	Jan 24 09:55:12
Started mapping on	Jan 24 10:08:54
Finished on	Jan 24 10:25:37
Mapping speed, Million of reads per hour	202.04
Number of input reads	56291944
Average input read length	202
Uniquely mapped reads number	48458806
Uniquely mapped reads %	86.08%
Average mapped length	200.56
Number of splices: Total	10180581
Number of splices: Annotated (sjdb)	10164340
Number of splices: GT/AG	10084130
Number of splices: GC/AG	78158
Number of splices: AT/AC	9003
Number of splices: Non-canonical	9290
Mismatch rate per base, %	0.30%
Deletion rate per base	0.01%
Deletion average length	1.33
Insertion rate per base	0.02%
Insertion average length	1.42
Number of reads mapped to multiple loci	2949341
% of reads mapped to multiple loci	5.24%
Number of reads mapped to too many loci	10571
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	15881
% of reads unmapped: too many mismatches	0.03%
Number of reads unmapped: too short	4793318
% of reads unmapped: too short	8.52%
Number of reads unmapped: other	64027
% of reads unmapped: other	0.11%
Number of chimeric reads	805780
% of chimeric reads	1.43%
