Started job on	Jan 24 00:36:08
Started mapping on	Jan 24 00:44:02
Finished on	Jan 24 00:52:14
Mapping speed, Million of reads per hour	207.57
Number of input reads	28367816
Average input read length	202
Uniquely mapped reads number	26097300
Uniquely mapped reads %	92.00%
Average mapped length	200.39
Number of splices: Total	8408248
Number of splices: Annotated (sjdb)	8393986
Number of splices: GT/AG	8329502
Number of splices: GC/AG	64155
Number of splices: AT/AC	6875
Number of splices: Non-canonical	7716
Mismatch rate per base, %	0.24%
Deletion rate per base	0.01%
Deletion average length	1.17
Insertion rate per base	0.01%
Insertion average length	1.37
Number of reads mapped to multiple loci	1508543
% of reads mapped to multiple loci	5.32%
Number of reads mapped to too many loci	8070
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	27945
% of reads unmapped: too many mismatches	0.10%
Number of reads unmapped: too short	710278
% of reads unmapped: too short	2.50%
Number of reads unmapped: other	15680
% of reads unmapped: other	0.06%
Number of chimeric reads	538701
% of chimeric reads	1.90%
