Started job on	Jan 24 18:38:30
Started mapping on	Jan 24 18:56:19
Finished on	Jan 24 19:18:18
Mapping speed, Million of reads per hour	198.00
Number of input reads	72543846
Average input read length	202
Uniquely mapped reads number	67096043
Uniquely mapped reads %	92.49%
Average mapped length	200.61
Number of splices: Total	17027654
Number of splices: Annotated (sjdb)	17000001
Number of splices: GT/AG	16872440
Number of splices: GC/AG	121866
Number of splices: AT/AC	15652
Number of splices: Non-canonical	17696
Mismatch rate per base, %	0.50%
Deletion rate per base	0.01%
Deletion average length	1.28
Insertion rate per base	0.01%
Insertion average length	1.68
Number of reads mapped to multiple loci	2421279
% of reads mapped to multiple loci	3.34%
Number of reads mapped to too many loci	14374
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	30774
% of reads unmapped: too many mismatches	0.04%
Number of reads unmapped: too short	2970736
% of reads unmapped: too short	4.10%
Number of reads unmapped: other	10640
% of reads unmapped: other	0.01%
Number of chimeric reads	792480
% of chimeric reads	1.09%
