Started job on	Jan 24 10:55:21
Started mapping on	Jan 24 11:03:40
Finished on	Jan 24 11:12:15
Mapping speed, Million of reads per hour	213.27
Number of input reads	30509549
Average input read length	202
Uniquely mapped reads number	27645995
Uniquely mapped reads %	90.61%
Average mapped length	200.67
Number of splices: Total	10223716
Number of splices: Annotated (sjdb)	10209807
Number of splices: GT/AG	10122430
Number of splices: GC/AG	82973
Number of splices: AT/AC	9827
Number of splices: Non-canonical	8486
Mismatch rate per base, %	0.22%
Deletion rate per base	0.01%
Deletion average length	1.49
Insertion rate per base	0.02%
Insertion average length	1.38
Number of reads mapped to multiple loci	802980
% of reads mapped to multiple loci	2.63%
Number of reads mapped to too many loci	5817
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	7074
% of reads unmapped: too many mismatches	0.02%
Number of reads unmapped: too short	2043966
% of reads unmapped: too short	6.70%
Number of reads unmapped: other	3717
% of reads unmapped: other	0.01%
Number of chimeric reads	415587
% of chimeric reads	1.36%
