Started job on	Jan 24 20:28:11
Started mapping on	Jan 24 20:39:15
Finished on	Jan 24 20:51:10
Mapping speed, Million of reads per hour	210.70
Number of input reads	41848192
Average input read length	202
Uniquely mapped reads number	39338070
Uniquely mapped reads %	94.00%
Average mapped length	200.49
Number of splices: Total	17215575
Number of splices: Annotated (sjdb)	17193701
Number of splices: GT/AG	17040164
Number of splices: GC/AG	145783
Number of splices: AT/AC	15707
Number of splices: Non-canonical	13921
Mismatch rate per base, %	0.20%
Deletion rate per base	0.01%
Deletion average length	1.22
Insertion rate per base	0.01%
Insertion average length	1.45
Number of reads mapped to multiple loci	1625733
% of reads mapped to multiple loci	3.88%
Number of reads mapped to too many loci	10263
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	42974
% of reads unmapped: too many mismatches	0.10%
Number of reads unmapped: too short	823641
% of reads unmapped: too short	1.97%
Number of reads unmapped: other	7511
% of reads unmapped: other	0.02%
Number of chimeric reads	707776
% of chimeric reads	1.69%
