Started job on	Jan 25 00:05:20
Started mapping on	Jan 25 00:21:00
Finished on	Jan 25 00:39:33
Mapping speed, Million of reads per hour	200.13
Number of input reads	61873035
Average input read length	202
Uniquely mapped reads number	57678721
Uniquely mapped reads %	93.22%
Average mapped length	200.44
Number of splices: Total	22604455
Number of splices: Annotated (sjdb)	22571943
Number of splices: GT/AG	22374452
Number of splices: GC/AG	191113
Number of splices: AT/AC	20402
Number of splices: Non-canonical	18488
Mismatch rate per base, %	0.30%
Deletion rate per base	0.01%
Deletion average length	1.24
Insertion rate per base	0.01%
Insertion average length	1.40
Number of reads mapped to multiple loci	2746951
% of reads mapped to multiple loci	4.44%
Number of reads mapped to too many loci	18686
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	68824
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	1292281
% of reads unmapped: too short	2.09%
Number of reads unmapped: other	67572
% of reads unmapped: other	0.11%
Number of chimeric reads	959554
% of chimeric reads	1.55%
