Started job on	Jan 26 04:57:13
Started mapping on	Jan 26 05:05:47
Finished on	Jan 26 05:15:00
Mapping speed, Million of reads per hour	195.43
Number of input reads	30020489
Average input read length	202
Uniquely mapped reads number	27044528
Uniquely mapped reads %	90.09%
Average mapped length	200.23
Number of splices: Total	9700328
Number of splices: Annotated (sjdb)	9684702
Number of splices: GT/AG	9607205
Number of splices: GC/AG	76268
Number of splices: AT/AC	8508
Number of splices: Non-canonical	8347
Mismatch rate per base, %	0.23%
Deletion rate per base	0.01%
Deletion average length	1.27
Insertion rate per base	0.01%
Insertion average length	1.38
Number of reads mapped to multiple loci	1520657
% of reads mapped to multiple loci	5.07%
Number of reads mapped to too many loci	8944
% of reads mapped to too many loci	0.03%
Number of reads unmapped: too many mismatches	25479
% of reads unmapped: too many mismatches	0.08%
Number of reads unmapped: too short	1409957
% of reads unmapped: too short	4.70%
Number of reads unmapped: other	10924
% of reads unmapped: other	0.04%
Number of chimeric reads	525074
% of chimeric reads	1.75%
