Started job on	Jan 21 07:33:01
Started mapping on	Jan 21 08:18:31
Finished on	Jan 21 09:59:41
Mapping speed, Million of reads per hour	30.11
Number of input reads	50776601
Average input read length	300
Uniquely mapped reads number	46247358
Uniquely mapped reads %	91.08%
Average mapped length	298.33
Number of splices: Total	41445206
Number of splices: Annotated (sjdb)	41391399
Number of splices: GT/AG	41054831
Number of splices: GC/AG	334577
Number of splices: AT/AC	18152
Number of splices: Non-canonical	37646
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.36
Insertion rate per base	0.01%
Insertion average length	1.59
Number of reads mapped to multiple loci	3770120
% of reads mapped to multiple loci	7.42%
Number of reads mapped to too many loci	6206
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	52176
% of reads unmapped: too many mismatches	0.10%
Number of reads unmapped: too short	689878
% of reads unmapped: too short	1.36%
Number of reads unmapped: other	10863
% of reads unmapped: other	0.02%
Number of chimeric reads	451776
% of chimeric reads	0.89%
