Started job on	Jan 07 19:55:51
Started mapping on	Jan 07 20:29:58
Finished on	Jan 07 21:40:47
Mapping speed, Million of reads per hour	31.04
Number of input reads	36636700
Average input read length	300
Uniquely mapped reads number	34204954
Uniquely mapped reads %	93.36%
Average mapped length	296.42
Number of splices: Total	30009560
Number of splices: Annotated (sjdb)	29960670
Number of splices: GT/AG	29703118
Number of splices: GC/AG	251095
Number of splices: AT/AC	15314
Number of splices: Non-canonical	40033
Mismatch rate per base, %	0.40%
Deletion rate per base	0.01%
Deletion average length	1.39
Insertion rate per base	0.01%
Insertion average length	1.78
Number of reads mapped to multiple loci	1066933
% of reads mapped to multiple loci	2.91%
Number of reads mapped to too many loci	4244
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	60804
% of reads unmapped: too many mismatches	0.17%
Number of reads unmapped: too short	1291140
% of reads unmapped: too short	3.52%
Number of reads unmapped: other	8625
% of reads unmapped: other	0.02%
Number of chimeric reads	1126762
% of chimeric reads	3.08%
