Started job on	Jan 12 15:08:11
Started mapping on	Jan 12 15:42:19
Finished on	Jan 12 16:57:05
Mapping speed, Million of reads per hour	35.30
Number of input reads	43985290
Average input read length	300
Uniquely mapped reads number	41007173
Uniquely mapped reads %	93.23%
Average mapped length	296.44
Number of splices: Total	37975828
Number of splices: Annotated (sjdb)	37914849
Number of splices: GT/AG	37602653
Number of splices: GC/AG	313427
Number of splices: AT/AC	16111
Number of splices: Non-canonical	43637
Mismatch rate per base, %	0.28%
Deletion rate per base	0.01%
Deletion average length	1.42
Insertion rate per base	0.01%
Insertion average length	1.91
Number of reads mapped to multiple loci	1428928
% of reads mapped to multiple loci	3.25%
Number of reads mapped to too many loci	4012
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	51041
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	1483948
% of reads unmapped: too short	3.37%
Number of reads unmapped: other	10188
% of reads unmapped: other	0.02%
Number of chimeric reads	1485592
% of chimeric reads	3.38%
