Started job on	Jan 12 08:59:44
Started mapping on	Jan 12 09:38:39
Finished on	Jan 12 10:59:16
Mapping speed, Million of reads per hour	41.69
Number of input reads	56015475
Average input read length	300
Uniquely mapped reads number	48981764
Uniquely mapped reads %	87.44%
Average mapped length	298.35
Number of splices: Total	39668070
Number of splices: Annotated (sjdb)	39612333
Number of splices: GT/AG	39282286
Number of splices: GC/AG	325152
Number of splices: AT/AC	15916
Number of splices: Non-canonical	44716
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.37
Insertion rate per base	0.01%
Insertion average length	1.55
Number of reads mapped to multiple loci	6092040
% of reads mapped to multiple loci	10.88%
Number of reads mapped to too many loci	7447
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	56775
% of reads unmapped: too many mismatches	0.10%
Number of reads unmapped: too short	860605
% of reads unmapped: too short	1.54%
Number of reads unmapped: other	16844
% of reads unmapped: other	0.03%
Number of chimeric reads	555055
% of chimeric reads	0.99%
