Started job on	Jan 18 14:35:47
Started mapping on	Jan 18 15:23:25
Finished on	Jan 18 17:12:08
Mapping speed, Million of reads per hour	26.71
Number of input reads	48388843
Average input read length	300
Uniquely mapped reads number	43069978
Uniquely mapped reads %	89.01%
Average mapped length	298.27
Number of splices: Total	39077795
Number of splices: Annotated (sjdb)	39027814
Number of splices: GT/AG	38728284
Number of splices: GC/AG	298143
Number of splices: AT/AC	16011
Number of splices: Non-canonical	35357
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.25
Insertion rate per base	0.01%
Insertion average length	1.65
Number of reads mapped to multiple loci	4481606
% of reads mapped to multiple loci	9.26%
Number of reads mapped to too many loci	5102
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	59543
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	762596
% of reads unmapped: too short	1.58%
Number of reads unmapped: other	10018
% of reads unmapped: other	0.02%
Number of chimeric reads	458786
% of chimeric reads	0.95%
